,id,entity,wiki_code,label,id_dedup
0,1,IranIraq War,,EVENT,1
1,2, Gulf War,[[wikidata:Q37643]],EVENT,2
2,3,Gulf War,[[wikidata:Q37643]],EVENT,2
3,4,Yom Kippur War,[[wikidata:Q49100]],EVENT,4
4,5,September M3,,EVENT,5
5,6,Expo 86,[[wikidata:Q1384656]],EVENT,6
6,7,World War,,EVENT,7
7,8, Gulf War Zone,,EVENT,8
8,9,Hugo,[[wikidata:Q230122]],EVENT,9
9,10,French 198687,,EVENT,10
10,11, Britannia,[[wikidata:Q138396]],EVENT,11
11,12,PreChapter 11,,EVENT,12
12,13,PostWar,,EVENT,13
13,14, Uruguay Round,[[wikidata:Q1136965]],EVENT,14
14,15,491P,,FAC,15
15,16,460,[[wikidata:Q30834]],FAC,16
16,17,New Orleans,[[wikidata:Q34404]],FAC,17
17,18,210,[[wikidata:Q30841]],FAC,18
18,19,451 460,,FAC,19
19,20,460 460,,FAC,20
20,21,Villa Constitucion,,FAC,21
21,22,316P,,FAC,22
22,23,Stearns Airport Equiment Co Inc,,FAC,23
23,24, Red River Crossing,,FAC,24
24,25,Cif,[[wikidata:Q2972358]],FAC,25
25,26,Edouard Herriot Riverside Port,,FAC,26
26,27,Le Raffineries De Soufre,,FAC,27
27,28,Cajamarquilla PeruS,,FAC,28
28,29,Cadwalader Wickersham,,FAC,29
29,30, Caracas Free Foreign Exchange,,FAC,30
30,31, Gidgealpa South Field,,FAC,31
31,32,Rko,,FAC,32
32,33,MirHossein Mousavi,,FAC,33
33,34, Colombo Rubber Auction,,FAC,34
34,35,Veslefrikk,,FAC,35
35,36,G7,,FAC,36
36,37, Orange County Airport,,FAC,37
37,38, Welland Canal,[[wikidata:Q14348]],FAC,38
38,39, Kansai International Airport,[[wikidata:Q193682]],FAC,39
39,40,Chase Manhattan,[[wikidata:Q16768782]],FAC,40
40,41, Panama Canal Commission,,FAC,41
41,42,Marina Hotel,,FAC,42
42,43,Cif Rotterdam,,FAC,43
43,44,Rotterdam PortS,,FAC,44
44,45,313P,,FAC,45
45,46, US Agriculture And Commerce Departments,,FAC,46
46,47,York Plaza,,FAC,47
47,48,Kansai Airport,,FAC,48
48,49,Seaforth Oilseed,,FAC,49
49,50,Ataturk International Airport,,FAC,50
50,51,Punta Del Este,,FAC,51
51,52,South Bay S,,FAC,52
52,53, Terra Nova,[[wikidata:Q226592]],FAC,53
53,54,Hibernia Field,,FAC,54
54,55, Oak Hill,[[wikidata:Q357259]],FAC,55
55,56, Philadelphia Convention Center Site,,FAC,56
56,57, Philadelphia International Airport,[[wikidata:Q512128]],FAC,57
57,58,Poland 460,,FAC,58
58,59,Miraflores Palace,[[wikidata:Q607224]],FAC,59
59,60,Santos Harbour,,FAC,60
60,61,242P,,FAC,61
61,62, Welland Canal Linking Lakes Erie,,FAC,62
62,63, Princeville Airport,[[wikidata:Q7245039]],FAC,63
63,64,San Paolo Di Torino,,FAC,64
64,65,Lake Erie Railway Co Div,,FAC,65
65,66,Mongkok Business District,,FAC,66
66,67, Kansai Airport,,FAC,67
67,68,Rockville Center,,FAC,68
68,69,288,[[wikidata:Q32499]],FAC,69
69,70,Bay Street,[[wikidata:Q812088]],FAC,70
70,71,Oak Brook Hills,,FAC,71
71,72,Punta Morales,,FAC,72
72,73, Oak Brook,,FAC,73
73,74, Elk Hills Naval Petroleum Reserve,,FAC,74
74,75,Montgomery Street,[[wikidata:Q3322721]],FAC,75
75,76,413P,,FAC,76
76,77,Dlr Kansai Airport,,FAC,77
77,78,750P,,FAC,78
78,79, Salina Cruz Refinery,,FAC,79
79,80,Lazaro Cardenas,,FAC,80
80,81,Schipol Airport,,FAC,81
81,82,Amsterdam Airport,,FAC,82
82,83,Hk Hotel,,FAC,83
83,84,US,,GPE,84
84,85,Japan,[[wikidata:Q17]],GPE,85
85,86,Tokyo,[[wikidata:Q1490]],GPE,86
86,87,Taiwan,[[wikidata:Q865]],GPE,87
87,88,South KoreaS,,GPE,88
88,89,South Korea,[[wikidata:Q884]],GPE,89
89,90,Malaysia,[[wikidata:Q833]],GPE,90
90,91,Hong Kong,[[wikidata:Q8646]],GPE,91
91,92,Hong KongS,,GPE,92
92,93,Canberra,[[wikidata:Q3114]],GPE,93
93,94,Australia,[[wikidata:Q408]],GPE,94
94,95,Washington,[[wikidata:Q25301]],GPE,95
95,96,China,[[wikidata:Q148]],GPE,96
96,97,Thailand,[[wikidata:Q869]],GPE,97
97,98,Indonesia,[[wikidata:Q252]],GPE,98
98,99,Rotterdam,[[wikidata:Q34370]],GPE,99
99,100,New South Wales,[[wikidata:Q3224]],GPE,100
100,101,Sydney,[[wikidata:Q3130]],GPE,101
101,102,Newcastle,[[wikidata:Q189192]],GPE,102
102,103,Mexico,[[wikidata:Q96]],GPE,103
103,104,Sri Lanka,[[wikidata:Q854]],GPE,104
104,105,Colombo,[[wikidata:Q35381]],GPE,105
105,106,Mt,,GPE,106
106,107,Osaka,[[wikidata:Q35765]],GPE,107
107,108,Philippines,[[wikidata:Q928]],GPE,108
108,109,Cebu,[[wikidata:Q13786]],GPE,109
109,110,Masbate,[[wikidata:Q13847]],GPE,110
110,111,Canada,[[wikidata:Q16]],GPE,111
111,112,Brazil,[[wikidata:Q155]],GPE,112
112,113,UK,,GPE,113
113,114,Seoul,[[wikidata:Q8684]],GPE,114
114,115, United States,[[wikidata:Q30]],GPE,115
115,116,Finland,[[wikidata:Q33]],GPE,116
116,117,Edmonton,[[wikidata:Q2096]],GPE,117
117,118,Vancouver,[[wikidata:Q24639]],GPE,118
118,119,BC,[[wikidata:Q219206]],GPE,119
119,120,Saudi Arabia,[[wikidata:Q851]],GPE,120
120,121,Alberta,[[wikidata:Q1951]],GPE,121
121,122,UK,,GPE,122
122,123,Norway,[[wikidata:Q20]],GPE,123
123,124,Britain,[[wikidata:Q4798430]],GPE,124
124,125,Spain,[[wikidata:Q29]],GPE,125
125,126,Portugal,[[wikidata:Q45]],GPE,126
126,127,Singapore,[[wikidata:Q334]],GPE,127
127,128,London,[[wikidata:Q84]],GPE,128
128,129,North Yemen,[[wikidata:Q1998401]],GPE,129
129,130,Yemen,[[wikidata:Q805]],GPE,130
130,131,San Miguel,[[wikidata:Q229238]],GPE,131
131,132,New York Investment Bank,,GPE,132
132,133,Melbourne,[[wikidata:Q3141]],GPE,133
133,134,Kuwait,[[wikidata:Q817]],GPE,134
134,135,New Zealand,[[wikidata:Q664]],GPE,135
135,136,Keswick,[[wikidata:Q451384]],GPE,136
136,137,New York,[[wikidata:Q22654]],GPE,137
137,138,Manila,[[wikidata:Q1461]],GPE,138
138,139,De Los Angeles,,GPE,139
139,140,Los Angeles,[[wikidata:Q65]],GPE,140
140,141,Los Angeles,[[wikidata:Q65]],GPE,140
141,142,United States,[[wikidata:Q30]],GPE,115
142,143,US,,GPE,143
143,144,Queensland,[[wikidata:Q36074]],GPE,144
144,145,Brisbane,[[wikidata:Q34932]],GPE,145
145,146,North Queensland,[[wikidata:Q2000749]],GPE,146
146,147, Bundaberg Region,[[wikidata:Q1005343]],GPE,147
147,148,Sourn Queensland,,GPE,148
148,149,Italy,[[wikidata:Q38]],GPE,149
149,150,Florence,[[wikidata:Q2044]],GPE,150
150,151,West Germany,[[wikidata:Q713750]],GPE,151
151,152,California,[[wikidata:Q99]],GPE,152
152,153,Hawaii,[[wikidata:Q782]],GPE,153
153,154,Paris,[[wikidata:Q90]],GPE,154
154,155,France,[[wikidata:Q142]],GPE,155
155,156,Belgium,[[wikidata:Q31]],GPE,156
156,157,Denmark,[[wikidata:Q35]],GPE,157
157,158,Leduc,[[wikidata:Q422931]],GPE,158
158,159,Nerlands,,GPE,159
159,160,WestGermany,,GPE,160
160,161,Salem,[[wikidata:Q83684]],GPE,161
161,162,Dlr,,GPE,162
162,163,Paramus,,GPE,163
163,164,NJ,,GPE,164
164,165,Wayne,[[wikidata:Q226447]],GPE,165
165,166,Hackensack,[[wikidata:Q359681]],GPE,166
166,167,NJ,,GPE,167
167,168,Fla,,GPE,168
168,169,Myrtle Beach,,GPE,169
169,170,SC,[[wikidata:Q218887]],GPE,170
170,171,Houston,[[wikidata:Q16555]],GPE,171
171,172,Louisville,,GPE,172
172,173,Kent,[[wikidata:Q23298]],GPE,173
173,174,Nashville,,GPE,174
174,175,Tenn,,GPE,175
175,176,LP,[[wikidata:Q224949]],GPE,176
176,177,Zambia,[[wikidata:Q953]],GPE,177
177,178,Ny Harbor,,GPE,178
178,179,Buenos Aires Province,[[wikidata:Q44754]],GPE,179
179,180,Cordoba,,GPE,180
180,181,Santa Fe,[[wikidata:Q225382]],GPE,181
181,182,Entre Rios,[[wikidata:Q299242]],GPE,182
