,id,name,label,mentions,articles
0,1,iran-iraq war,EVENT,5,"['test/14891', 'test/19403', 'test/20909', 'test/21506', 'training/6404']"
1,2,the gulf war,EVENT,8,"['test/17925', 'test/18231', 'test/18340', 'test/20881', 'test/20882', 'test/21568', 'training/8440', 'training/8516']"
2,3,gulf war,EVENT,2,"['test/18340', 'test/19560']"
3,4,yom kippur war,EVENT,1,['test/19918']
4,5,september m3,EVENT,2,"['test/20062', 'test/20062']"
5,6,expo 86,EVENT,1,['training/11490']
6,7,world war,EVENT,1,['training/12887']
7,8,the gulf war zone,EVENT,2,"['training/13320', 'training/13542']"
8,9,whitney,EVENT,1,['training/13966']
9,10,hugo,EVENT,1,['training/1588']
10,11,french 1986/87,EVENT,1,['training/395']
11,12,"the ""britannia",EVENT,1,"['training/4407', 'training/4407']"
12,13,pre-chapter 11,EVENT,1,['training/5366']
13,14,post-war,EVENT,1,['training/7375']
14,15,"the ""uruguay round""",EVENT,2,"['training/8080', 'training/8198']"
15,16,491p,FAC,1,['test/14872']
16,17,460,FAC,2,"['test/15504', 'test/15864']"
17,18,new orleans,FAC,2,"['test/15710', 'training/12081', 'test/15728', 'test/18571', 'training/14360', 'training/14418', 'training/14418', 'training/14418', 'training/3864', 'training/6712', 'test/15710', 'training/12081', 'training/14360']"
18,19,210,FAC,2,"['test/15844', 'test/15844']"
19,20,451 460,FAC,1,['test/15864']
20,21,460 460,FAC,1,['test/15875']
21,22,villa constitucion,FAC,1,['test/16071']
22,23,316p,FAC,1,['test/16140']
23,24,stearns airport equiment co inc,FAC,1,['test/16354']
24,25,the red river crossing,FAC,1,['test/18186']
25,26,cif,FAC,1,"['test/18222', 'test/15415', 'test/18222', 'test/19088', 'training/10330', 'training/10947', 'training/12003', 'training/12772', 'training/320', 'training/4305', 'training/4681', 'training/7961', 'training/8159', 'test/19044', 'training/271', 'training/6952', 'training/890']"
26,27,edouard herriot riverside port,FAC,1,['test/18228']
27,28,le raffineries de soufre,FAC,1,['test/18882']
28,29,cajamarquilla peru's,FAC,1,['test/18945']
29,30,cadwalader wickersham,FAC,1,['test/19223']
30,31,the caracas free foreign exchange,FAC,1,['test/19489']
31,32,the gidgealpa south field,FAC,1,['test/19492']
32,33,rko,FAC,1,"['test/19930', 'test/18863', 'test/19930', 'training/3086', 'training/3086', 'training/3086', 'test/19930', 'training/3086', 'training/3086', 'training/3086', 'test/18856', 'test/18856', 'test/18863']"
33,34,mir-hossein mousavi,FAC,2,"['test/20092', 'test/20103']"
34,35,the colombo rubber auction,FAC,1,['test/20267']
35,36,veslefrikk,FAC,1,"['test/21018', 'test/21541', 'test/21541']"
