,id,name,label,mentions
0,1,lead,COMMODITY,282
1,2,oil,COMMODITY,3090
2,3,tin,COMMODITY,151
3,4,wheat,COMMODITY,1002
4,5,gold,COMMODITY,632
5,6,copper,COMMODITY,258
6,7,corn,COMMODITY,618
7,8,zinc,COMMODITY,108
8,9,nickel,COMMODITY,30
9,10,soybeans,COMMODITY,183
10,11,aluminum,COMMODITY,74
11,12,cocoa,COMMODITY,377
12,13,cotton,COMMODITY,205
13,14,silver,COMMODITY,127
14,15,platinum,COMMODITY,47
15,16,palladium,COMMODITY,7
16,17,oats,COMMODITY,38
17,18,lumber,COMMODITY,45
18,19,iran-iraq war,EVENT,5
19,20,the gulf war,EVENT,8
20,21,gulf war,EVENT,2
21,22,yom kippur war,EVENT,1
22,23,september m3,EVENT,2
23,24,expo 86,EVENT,1
24,25,world war,EVENT,1
25,26,the gulf war zone,EVENT,2
26,27,hugo,EVENT,1
27,28,french 1986/87,EVENT,1
28,29,"the ""britannia",EVENT,1
29,30,pre-chapter 11,EVENT,1
30,31,post-war,EVENT,1
31,32,"the ""uruguay round""",EVENT,2
32,33,491p,FAC,1
33,34,460,FAC,2
34,35,new orleans,FAC,2
35,36,210,FAC,2
36,37,451 460,FAC,1
37,38,460 460,FAC,1
38,39,villa constitucion,FAC,1
39,40,316p,FAC,1
40,41,stearns airport equiment co inc,FAC,1
41,42,the red river crossing,FAC,1
42,43,cif,FAC,1
43,44,edouard herriot riverside port,FAC,1
44,45,le raffineries de soufre,FAC,1
45,46,cajamarquilla peru's,FAC,1
46,47,cadwalader wickersham,FAC,1
47,48,the caracas free foreign exchange,FAC,1
48,49,the gidgealpa south field,FAC,1
49,50,rko,FAC,1
50,51,mir-hossein mousavi,FAC,2
51,52,the colombo rubber auction,FAC,1
52,53,veslefrikk,FAC,1
53,54,g7,FAC,1
54,55,the orange county airport,FAC,1
55,56,the welland canal,FAC,2
56,57,the kansai international airport,FAC,1
57,58,chase manhattan,FAC,1
58,59,the panama canal commission,FAC,3
59,60,marina hotel,FAC,1
60,61,cif rotterdam,FAC,2
61,62,rotterdam port's,FAC,4
62,63,313p,FAC,1
