Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,5968825,0,0.00,0,0.00,18.79,5925022,43803
UVXY,5518649,0,0.00,0,0.00,12.64,5459500,59149
RSX,1935805,0,0.00,0,0.00,25.24,1906896,28909
ARKG,1714311,0,0.00,0,0.00,51.53,1675779,38532
IEFA,1246526,0,0.00,0,0.00,74.88,1235146,11380
ITB,1154516,0,0.00,0,0.00,77.95,1139570,14946
IGV,861953,0,0.00,0,0.00,356.48,850837,11116
USHY,609026,0,0.00,0,0.00,40.80,598096,10930
VIXY,564380,0,0.00,0,0.00,15.33,541545,22835
EZU,542388,0,0.00,0,0.00,49.34,540688,1700
USMV,528640,0,0.00,0,0.00,77.91,526078,2562
EFV,392499,0,0.00,0,0.00,53.18,389267,3232
INDA,324631,0,0.00,0,0.00,48.25,323717,914
SVXY,314693,0,0.00,0,0.00,60.83,292969,21724
MTUM,304106,0,0.00,0,0.00,172.83,303516,590
VLUE,298372,0,0.00,0,0.00,114.48,296715,1657
GOVT,239741,0,0.00,0,0.00,26.14,174933,64808
QUAL,226067,0,0.00,0,0.00,139.38,225466,601
JPST,199406,0,0.00,0,0.00,50.46,199406,0
COWZ,164747,0,0.00,0,0.00,48.30,162703,2044
ECH,151866,0,0.00,0,0.00,25.11,147003,4863
IDV,136814,0,0.00,0,0.00,32.86,131085,5729
FLOT,136743,0,0.00,0,0.00,50.69,136743,0
VUSB,133700,0,0.00,0,0.00,49.92,133700,0
CBOE,126377,0,0.00,0,0.00,120.36,125558,819
PICK,125201,0,0.00,0,0.00,46.05,122409,2792
RYLD,119246,0,0.00,0,0.00,24.15,117146,2100
EFG,117987,0,0.00,0,0.00,105.32,116594,1393
MOAT,117602,0,0.00,0,0.00,76.34,115917,1685
ARKQ,109033,0,0.00,0,0.00,70.70,102485,6548
BBJP,105292,0,0.00,0,0.00,55.41,92084,13208
EFAV,78440,0,0.00,0,0.00,75.12,76876,1564
REM,76480,0,0.00,0,0.00,35.14,71080,5400
SLVP,69364,0,0.00,0,0.00,12.66,69248,116
PAVE,67717,0,0.00,0,0.00,28.17,67717,0
JMST,66087,0,0.00,0,0.00,50.97,62760,3327
BBEU,63921,0,0.00,0,0.00,60.05,58968,4953
NOBL,63703,0,0.00,0,0.00,97.80,61435,2268
BBCA,59959,0,0.00,0,0.00,68.27,59123,836
IYZ,59093,0,0.00,0,0.00,32.49,59053,40
HYD,58690,0,0.00,0,0.00,61.78,58537,153
ARKX,47962,0,0.00,0,0.00,17.47,47237,725
